,ent1,ent1Label,ent2,ent2Label,relation
81,Serotonergic antidepressants,ANTIDEPRESSANT_DRUG,expectancy,OUTCOME,NEGATIVELY IMPACTS
83,Serotonergic antidepressants,ANTIDEPRESSANT_DRUG,psilocybin,DRUG,NEGATIVELY IMPACTS
283,AYA,DRUG,Vomiting,OUTCOME,NEGATIVELY IMPACTS
286,AYA,DRUG,nausea,OUTCOME,NEGATIVELY IMPACTS
287,AYA,DRUG,vomiting,OUTCOME,NEGATIVELY IMPACTS
288,AYA,DRUG,simultaneous diarrhea,OUTCOME,NEGATIVELY IMPACTS
1103,ayahuasca,DRUG,convergent thinking,OUTCOME,NEGATIVELY IMPACTS
1139,psilocybin,DRUG,somatic synesthetic experiences,OUTCOME,NEGATIVELY IMPACTS
1140,psilocybin,DRUG,fear,OUTCOME,NEGATIVELY IMPACTS
1141,psilocybin,DRUG,confusion,OUTCOME,NEGATIVELY IMPACTS
1142,psilocybin,DRUG,panic,OUTCOME,NEGATIVELY IMPACTS
1143,psilocybin,DRUG,paranoia,OUTCOME,NEGATIVELY IMPACTS
1198,psilocybin,DRUG,not mean no abuse or dependence risk,OUTCOME,NEGATIVELY IMPACTS
1424,Depressive states,SUBJECTIVE,rumination,OUTCOME,NEGATIVELY IMPACTS
1982,escitalopram,ANTIDEPRESSANT_DRUG,anxiety,HEALTH,NEGATIVELY IMPACTS
1983,escitalopram,ANTIDEPRESSANT_DRUG,dry mouth,OUTCOME,NEGATIVELY IMPACTS
1984,escitalopram,ANTIDEPRESSANT_DRUG,sexual dysfunction,OUTCOME,NEGATIVELY IMPACTS
1985,escitalopram,ANTIDEPRESSANT_DRUG,reduced emotional responsiveness,OUTCOME,NEGATIVELY IMPACTS
1986,escitalopram,ANTIDEPRESSANT_DRUG,adverse event,OUTCOME,NEGATIVELY IMPACTS
2135,AYA,DRUG,insula,NEURAL,NEGATIVELY IMPACTS
2142,AYA,DRUG,psychotic episodes,HEALTH,NEGATIVELY IMPACTS
2144,AYA,DRUG,Psychotic symptoms,HEALTH,NEGATIVELY IMPACTS
2145,AYA,DRUG,adverse reactions,OUTCOME,NEGATIVELY IMPACTS
2291,LSD,DRUG,increase heart rate,OUTCOME,NEGATIVELY IMPACTS
2292,LSD,DRUG,blood pressure,OUTCOME,NEGATIVELY IMPACTS
2293,LSD,DRUG,body temperature,OUTCOME,NEGATIVELY IMPACTS
2349,serotonergic antidepressant medications,ANTIDEPRESSANT_DRUG,anhedonia,HEALTH,NEGATIVELY IMPACTS
2675,LSD,DRUG,paranoia,OUTCOME,NEGATIVELY IMPACTS
2676,LSD,DRUG,illusions,OUTCOME,NEGATIVELY IMPACTS
2677,LSD,DRUG,feeling cold,OUTCOME,NEGATIVELY IMPACTS
2695,psilocybin,DRUG,too psychologically challenging experiences,OUTCOME,NEGATIVELY IMPACTS
2705,Ayahuasca,DRUG,global efficiency,OUTCOME,NEGATIVELY IMPACTS
2844,LSD,DRUG,hyperactivity,OUTCOME,NEGATIVELY IMPACTS
2845,LSD,DRUG,anhedonia,OUTCOME,NEGATIVELY IMPACTS
2846,LSD,DRUG,social deficits,OUTCOME,NEGATIVELY IMPACTS
2962,LSD,DRUG,anxiety,HEALTH,NEGATIVELY IMPACTS
2985,LSD,DRUG,bad drug effects,OUTCOME,NEGATIVELY IMPACTS
3065,LSD,DRUG,dizziness,OUTCOME,NEGATIVELY IMPACTS
3066,LSD,DRUG,changes in body feeling,OUTCOME,NEGATIVELY IMPACTS
3186,Available medications,ANTIDEPRESSANT_DRUG,ineffective for many patients,OUTCOME,NEGATIVELY IMPACTS
3187,Available medications,ANTIDEPRESSANT_DRUG,adverse reactions,OUTCOME,NEGATIVELY IMPACTS
3224,AED-associated changes in mood,OUTCOME,paranoia,HEALTH,NEGATIVELY IMPACTS
3225,AED-associated changes in mood,OUTCOME,anxiety,HEALTH,NEGATIVELY IMPACTS
3307,Amygdala hyperreactivity,NEURAL,changes in neural function,OUTCOME,NEGATIVELY IMPACTS
3308,Amygdala hyperreactivity,NEURAL,negative processing bias,SUBJECTIVE,NEGATIVELY IMPACTS
3309,Amygdala hyperreactivity,NEURAL,major depressive disorder,HEALTH,NEGATIVELY IMPACTS
3310,Amygdala hyperreactivity,NEURAL,anxiety,HEALTH,NEGATIVELY IMPACTS
