,entity 1,entity 1 label,entity 2,entity 2 label,type
0,psilocybin,DRUG,psychological distress,OUTCOME,POSITIVELY IMPACTS
1,psilocybin,DRUG,anxiety,HEALTH,POSITIVELY IMPACTS
2,psilocybin,DRUG,suicidality,OUTCOME,POSITIVELY IMPACTS
3,mystical-type experience,SUBJECTIVE,anxiety,HEALTH,POSITIVELY IMPACTS
4,mystical-type experience,SUBJECTIVE,suicidality,OUTCOME,POSITIVELY IMPACTS
11,psilocybin,DRUG,depression,HEALTH,POSITIVELY IMPACTS
17,psilocybin,DRUG,psilocin,DRUG,POSITIVELY IMPACTS
20,hallucinogens,DRUG,anxiety,HEALTH,POSITIVELY IMPACTS
25,hallucinogens,DRUG,tolerated the treatment sessions well,OUTCOME,POSITIVELY IMPACTS
26,hallucinogens,DRUG,modest effects,OUTCOME,POSITIVELY IMPACTS
27,hallucinogens,DRUG,terminal cancer,HEALTH,POSITIVELY IMPACTS
28,hallucinogens,DRUG,"therapeutic outcome.10,12",OUTCOME,POSITIVELY IMPACTS
29,hallucinogens,DRUG,examining how Common illness had impacted Common lives,OUTCOME,POSITIVELY IMPACTS
30,hallucinogens,DRUG,relationships with family and close friends,OUTCOME,POSITIVELY IMPACTS
31,hallucinogens,DRUG,sense of ontological security,OUTCOME,POSITIVELY IMPACTS
32,hallucinogens,DRUG,powerful empathic cathexis to close friends and family members,OUTCOME,POSITIVELY IMPACTS
33,hallucinogens,DRUG,how subjects wished to address subjects limited life expectancy,OUTCOME,POSITIVELY IMPACTS
34,hallucinogens,DRUG,pronounced therapeutic effects,OUTCOME,POSITIVELY IMPACTS
35,psilocybin,DRUG,therapeutic benefit,OUTCOME,POSITIVELY IMPACTS
37,psilocybin,DRUG,stress,HEALTH,POSITIVELY IMPACTS
39,psilocybin,DRUG,mood,OUTCOME,POSITIVELY IMPACTS
40,positive outcome,OUTCOME,mood,OUTCOME,POSITIVELY IMPACTS
44,psilocybin,DRUG,mood-elevating effects,OUTCOME,POSITIVELY IMPACTS
48,psilocybin,DRUG,strong therapeutic bonds,OUTCOME,POSITIVELY IMPACTS
49,psilocybin,DRUG,ameliorating underlying psychological demoralization,OUTCOME,POSITIVELY IMPACTS
50,psilocybin,DRUG,existential anxiety,HEALTH,POSITIVELY IMPACTS
51,psilocybin,DRUG,despair,HEALTH,POSITIVELY IMPACTS
54,safety and promise,OUTCOME,existential anxiety,HEALTH,POSITIVELY IMPACTS
55,safety and promise,OUTCOME,despair,HEALTH,POSITIVELY IMPACTS
56,hallucinogenic compounds,DRUG,existential anxiety,HEALTH,POSITIVELY IMPACTS
57,hallucinogenic compounds,DRUG,despair,HEALTH,POSITIVELY IMPACTS
60,LSD,DRUG,therapeutic improvement,OUTCOME,POSITIVELY IMPACTS
62,LSD,DRUG,anxiety,HEALTH,POSITIVELY IMPACTS
63,LSD,DRUG,depression,HEALTH,POSITIVELY IMPACTS
66,psilocybin,DRUG,favourable toxicity profile,OUTCOME,POSITIVELY IMPACTS
67,psilocybin,DRUG,not associated with compulsive drug-seeking behaviours,OUTCOME,POSITIVELY IMPACTS
69,ketamine,DRUG,smokers,HEALTH,POSITIVELY IMPACTS
70,ketamine,DRUG,anxiety,HEALTH,POSITIVELY IMPACTS
71,ketamine,DRUG,depression,HEALTH,POSITIVELY IMPACTS
72,psilocybin,DRUG,smokers,HEALTH,POSITIVELY IMPACTS
76,psilocybin,DRUG,clinical improvements,OUTCOME,POSITIVELY IMPACTS
79,suggestibility,OUTCOME,antidepressant,ANTIDEPRESSANT_DRUG,POSITIVELY IMPACTS
84,psychedelics,DRUG,novel pharmacological action,OUTCOME,POSITIVELY IMPACTS
85,psilocybin,DRUG,novel pharmacological action,OUTCOME,POSITIVELY IMPACTS
86,Psilocybin,DRUG,antidepressant,ANTIDEPRESSANT_DRUG,POSITIVELY IMPACTS
87,Psilocybin,DRUG,novel pharmacological action,OUTCOME,POSITIVELY IMPACTS
92,psychedelics,DRUG,subjective and behavioral effects,OUTCOME,POSITIVELY IMPACTS
127,PCC,NEURAL,self,SUBJECTIVE,POSITIVELY IMPACTS
128,DMN,NEURAL,ego,SUBJECTIVE,POSITIVELY IMPACTS
130,connector hubs,OUTCOME,self,SUBJECTIVE,POSITIVELY IMPACTS
131,connector hubs,OUTCOME,ego,SUBJECTIVE,POSITIVELY IMPACTS
132,connector hubs,OUTCOME,efficient information transfer,OUTCOME,POSITIVELY IMPACTS
133,connector hubs,OUTCOME,allowing communication between different regions,OUTCOME,POSITIVELY IMPACTS
134,psilocybin,DRUG,efficient information transfer,OUTCOME,POSITIVELY IMPACTS
135,psilocybin,DRUG,allowing communication between different regions,OUTCOME,POSITIVELY IMPACTS
146,psilocybin,DRUG,“overstable” state,SUBJECTIVE,POSITIVELY IMPACTS
147,psilocybin,DRUG,subjective well-being,OUTCOME,POSITIVELY IMPACTS
148,psilocybin,DRUG,trait openness,OUTCOME,POSITIVELY IMPACTS
150,psilocybin,DRUG,terminal cancer patients,HEALTH,POSITIVELY IMPACTS
151,psilocybin,DRUG,decreased CBF in the hypothalamus,OUTCOME,POSITIVELY IMPACTS
156,psychedelics,DRUG,terminal cancer patients,HEALTH,POSITIVELY IMPACTS
157,psychedelics,DRUG,decreased CBF in the hypothalamus,OUTCOME,POSITIVELY IMPACTS
158,psychedelics,DRUG,cluster headaches,HEALTH,POSITIVELY IMPACTS
159,Increased hypothalamic CBF,OUTCOME,cluster headaches,HEALTH,POSITIVELY IMPACTS
160,psychedelic state,SUBJECTIVE,cluster headaches,HEALTH,POSITIVELY IMPACTS
163,psilocybin,DRUG,"rapid, robust, and sustained clinical benefits",OUTCOME,POSITIVELY IMPACTS
166,psilocybin,DRUG,clinical benefits,OUTCOME,POSITIVELY IMPACTS
167,psilocybin,DRUG,cancer-related anxiety,HEALTH,POSITIVELY IMPACTS
181,psilocybin,DRUG,anti-depressant effects,OUTCOME,POSITIVELY IMPACTS
185,psilocybin,DRUG,clinical outcomes,OUTCOME,POSITIVELY IMPACTS
189,psilocybin,DRUG,rapid anti-depressant and anxiolytic clinical benefits,OUTCOME,POSITIVELY IMPACTS
197,psilocybin,DRUG,anti-depressant response rates,OUTCOME,POSITIVELY IMPACTS
201,Psilocybin,DRUG,rapid anti-depressant and anxiolytic clinical benefits,OUTCOME,POSITIVELY IMPACTS
202,Psilocybin,DRUG,clinical outcomes,OUTCOME,POSITIVELY IMPACTS
203,Psilocybin,DRUG,anti-depressant response rates,OUTCOME,POSITIVELY IMPACTS
204,Psilocybin,DRUG,cancer-related depression,HEALTH,POSITIVELY IMPACTS
205,Psilocybin,DRUG,anti-depressants,DRUG,POSITIVELY IMPACTS
206,Psilocybin,DRUG,cancer-related demoralization,OUTCOME,POSITIVELY IMPACTS
207,psilocybin,DRUG,decreased quality of life,OUTCOME,POSITIVELY IMPACTS
209,psilocybin,DRUG,improved attitudes and adaptations to death,OUTCOME,POSITIVELY IMPACTS
210,psilocybin,DRUG,highly meaningful and spiritual,OUTCOME,POSITIVELY IMPACTS
211,Psilocybin,DRUG,anxiety,HEALTH,POSITIVELY IMPACTS
212,Psilocybin,DRUG,improved attitudes and adaptations to death,OUTCOME,POSITIVELY IMPACTS
213,Psilocybin,DRUG,highly meaningful and spiritual,OUTCOME,POSITIVELY IMPACTS
214,psilocybin,DRUG,increased rates of mental illness,OUTCOME,POSITIVELY IMPACTS
216,serotoninergic psychedelic,DRUG,anxiety,HEALTH,POSITIVELY IMPACTS
217,ayahuasca,DRUG,anxiety,HEALTH,POSITIVELY IMPACTS
218,ayahuasca,DRUG,rapid and sustained anti-depressant effects,OUTCOME,POSITIVELY IMPACTS
219,ayahuasca,DRUG,depression,HEALTH,POSITIVELY IMPACTS
220,ayahuasca,DRUG,suicidality,HEALTH,POSITIVELY IMPACTS
221,selective serotonin reuptake inhibitors,ANTIDEPRESSANT_DRUG,depression,HEALTH,POSITIVELY IMPACTS
222,selective serotonin reuptake inhibitors,ANTIDEPRESSANT_DRUG,suicidality,HEALTH,POSITIVELY IMPACTS
223,selective serotonin reuptake inhibitors,ANTIDEPRESSANT_DRUG,depressed patients,HEALTH,POSITIVELY IMPACTS
224,selective serotonin reuptake inhibitors,ANTIDEPRESSANT_DRUG,tricyclic anti-depressants),ANTIDEPRESSANT_DRUG,POSITIVELY IMPACTS
225,ketamine,DRUG,anti-depressant mechanisms of action,OUTCOME,POSITIVELY IMPACTS
226,ketamine,DRUG,anti-depressant treatment,OUTCOME,POSITIVELY IMPACTS
228,ketamine,DRUG,decreased connectivity,OUTCOME,POSITIVELY IMPACTS
232,mystical-type experiences,SUBJECTIVE,anxiety,HEALTH,POSITIVELY IMPACTS
233,mystical-type experiences,SUBJECTIVE,depression,HEALTH,POSITIVELY IMPACTS
234,subjective mystical experience,SUBJECTIVE,anxiety,HEALTH,POSITIVELY IMPACTS
