,entity 1,entity 1 label,entity 2,entity 2 label,type,source
0,psilocybin,DRUG,psychological distress,OUTCOME,POSITIVELY IMPACTS,f624d5abadc6418f41ea425eb53506e811e19f239c768100097c78295dadf858
1,psilocybin,DRUG,anxiety,HEALTH,POSITIVELY IMPACTS,f624d5abadc6418f41ea425eb53506e811e19f239c768100097c78295dadf858
2,psilocybin,DRUG,suicidality,OUTCOME,POSITIVELY IMPACTS,f624d5abadc6418f41ea425eb53506e811e19f239c768100097c78295dadf858
3,mystical-type experience,SUBJECTIVE,anxiety,HEALTH,POSITIVELY IMPACTS,f624d5abadc6418f41ea425eb53506e811e19f239c768100097c78295dadf858
4,mystical-type experience,SUBJECTIVE,suicidality,OUTCOME,POSITIVELY IMPACTS,f624d5abadc6418f41ea425eb53506e811e19f239c768100097c78295dadf858
5,mystical-type experience,SUBJECTIVE,anxiety,HEALTH,POSITIVELY IMPACTS,f624d5abadc6418f41ea425eb53506e811e19f239c768100097c78295dadf858
6,mystical-type experience,SUBJECTIVE,suicidality,OUTCOME,POSITIVELY IMPACTS,f624d5abadc6418f41ea425eb53506e811e19f239c768100097c78295dadf858
7,psilocybin,DRUG,anxiety,HEALTH,POSITIVELY IMPACTS,f624d5abadc6418f41ea425eb53506e811e19f239c768100097c78295dadf858
8,psilocybin,DRUG,suicidality,OUTCOME,POSITIVELY IMPACTS,f624d5abadc6418f41ea425eb53506e811e19f239c768100097c78295dadf858
9,psilocybin,DRUG,anxiety,HEALTH,POSITIVELY IMPACTS,f624d5abadc6418f41ea425eb53506e811e19f239c768100097c78295dadf858
10,psilocybin,DRUG,suicidality,OUTCOME,POSITIVELY IMPACTS,f624d5abadc6418f41ea425eb53506e811e19f239c768100097c78295dadf858
11,psilocybin,DRUG,depression,HEALTH,POSITIVELY IMPACTS,f624d5abadc6418f41ea425eb53506e811e19f239c768100097c78295dadf858
12,psilocybin,DRUG,anxiety,HEALTH,POSITIVELY IMPACTS,f624d5abadc6418f41ea425eb53506e811e19f239c768100097c78295dadf858
13,psilocybin,DRUG,depression,HEALTH,POSITIVELY IMPACTS,f624d5abadc6418f41ea425eb53506e811e19f239c768100097c78295dadf858
14,psilocybin,DRUG,anxiety,HEALTH,POSITIVELY IMPACTS,f624d5abadc6418f41ea425eb53506e811e19f239c768100097c78295dadf858
15,psilocybin,DRUG,depression,HEALTH,POSITIVELY IMPACTS,f624d5abadc6418f41ea425eb53506e811e19f239c768100097c78295dadf858
16,psilocybin,DRUG,anxiety,HEALTH,POSITIVELY IMPACTS,f624d5abadc6418f41ea425eb53506e811e19f239c768100097c78295dadf858
17,psilocybin,DRUG,psilocin,DRUG,POSITIVELY IMPACTS,f624d5abadc6418f41ea425eb53506e811e19f239c768100097c78295dadf858
18,psilocybin,DRUG,psilocin,DRUG,POSITIVELY IMPACTS,f624d5abadc6418f41ea425eb53506e811e19f239c768100097c78295dadf858
