psilocybin,DRUG
depressed mood,HEALTH
anxiety,HEALTH
increase quality of life,OUTCOME
cancer diagnosis,HEALTH
efficacy,OUTCOME
psilocybin,DRUG
psilocybin,DRUG
depression,HEALTH
anxiety,HEALTH
mood disturbance,HEALTH
quality of life,OUTCOME
life meaning,OUTCOME
death acceptance,OUTCOME
optimism,OUTCOME
depression,HEALTH
anxiety,HEALTH
symptom remission,OUTCOME
"positive changes in attitudes about life, self, mood, relationships and spirituality",OUTCOME
increased well-being,OUTCOME
life satisfaction,OUTCOME
positive effects,OUTCOME
psilocybin,DRUG
cancer patients,HEALTH
psilocybin,DRUG
depression,HEALTH
anxiety,HEALTH
psilocybin,DRUG
mystical-type experience,SUBJECTIVE
enduring changes in therapeutic outcome measures,OUTCOME
"long-term positive changes in attitudes, mood, behavior, and spirituality",OUTCOME
psilocybin,DRUG
mystical-type experience,SUBJECTIVE
drug effect,OUTCOME
mystical-type experience,SUBJECTIVE
mediating role in positive therapeutic response,OUTCOME
psychological distress,OUTCOME
anxiety,HEALTH
psilocybin,DRUG
psychological distress,OUTCOME
suicidality,OUTCOME
psilocybin,DRUG
minimize expectancy effects,OUTCOME
classic hallucinogen effects,OUTCOME
significant treatment effects,OUTCOME
psilocybin,DRUG
pharmacological activity,OUTCOME
psilocybin,DRUG
pharmacological inactivity,OUTCOME
psilocybin,DRUG
minimized expectancy effects,OUTCOME
persisting effects,OUTCOME
psilocybin,DRUG
efficacy,OUTCOME
psilocybin,DRUG
enduring increases in positive changes in attitudes and mood,OUTCOME
depression,HEALTH
anxiety,HEALTH
cancer-related psychological distress,HEALTH
psilocybin,DRUG
psilocybin,DRUG
psilocybin,DRUG
transient episodes of psychological distress,OUTCOME
anxiety,HEALTH
psilocybin,DRUG
therapeutic effects,OUTCOME
5-HT2A agonist,NEURAL
psilocybin,DRUG
psilocin,DRUG
brain cortical and subcortical areas,NEURAL
alters brain network dynamics,OUTCOME
enduring therapeutically relevant psilocybin effects,OUTCOME
long-term alteration of cortical networks,OUTCOME
neuroplastic changes,OUTCOME
hallucinogen,DRUG
advanced-stage cancer,HEALTH
anxiety,HEALTH
psilocybin,DRUG
hallucinogens,DRUG
inducing an alteration of consciousness with potential therapeutic benefit,OUTCOME
optimizing patient safety,OUTCOME
no untoward cardiovascular sequelae,OUTCOME
Minor HR and BP elevations,OUTCOME
psilocybin,DRUG
mild sympathomimetic effect,OUTCOME
increased cardiac arrhythmias,OUTCOME
cardiac arrhythmia,HEALTH
minimal effects,OUTCOME
reduction in diastolic BP,OUTCOME
transient effect,OUTCOME
